epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17885,1.65892,4.26119,1.30223,0.00308,0.19138,0.02959,0.02084,1.54663,4.08453,1.15511,0.00011817,0.00011817,0.00011817
2,5.5099,1.69904,3.43443,1.21768,0.01112,0.37936,0.10099,0.0605,1.59909,3.67715,1.14025,0.000196835,0.000196835,0.000196835
3,7.80571,1.72019,2.60998,1.21417,0.01631,0.52954,0.1948,0.10288,1.63051,3.30659,1.14921,0.000225105,0.000225105,0.000225105
4,10.0774,1.70054,2.29515,1.19355,0.68965,0.06352,0.24849,0.13028,1.65235,3.126,1.15641,0.00020298,0.00020298,0.00020298
5,12.2724,1.65878,2.16315,1.19283,0.60018,0.13594,0.29751,0.16679,1.63743,2.80672,1.15011,0.00013046,0.00013046,0.00013046
